panel,target,species,strain,focal_present,reference_present,reference_evaluated,reference_total,reference_unresolved,reference_prevalence_pct,annotation_only_genomes,unresolved_genomes
strict13,PerR,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
strict13,PerR,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
strict13,PerR,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,OhrR,L. rhamnosus,Vahe,1.0,28,28,30,2,100.0,0,2
strict13,OhrR,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
strict13,OhrR,L. plantarum,ZPZ,1.0,29,29,30,1,100.0,0,1
strict13,Catalase,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,0,0
strict13,Catalase,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
strict13,Catalase,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,Fur,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,0,0
strict13,Fur,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
strict13,Fur,L. plantarum,ZPZ,0.0,0,30,30,0,0.0,0,0
strict13,Rex,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
strict13,Rex,L. delbrueckii,IAHAHI,,30,30,30,0,100.0,0,0
strict13,Rex,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,Spx,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
strict13,Spx,L. delbrueckii,IAHAHI,1.0,29,30,30,0,96.66666666666667,0,0
strict13,Spx,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,SOD,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,0,0
strict13,SOD,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
strict13,SOD,L. plantarum,ZPZ,0.0,0,30,30,0,0.0,0,0
strict13,Nox,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
strict13,Nox,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
strict13,Nox,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,Glutathione_system,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,30,0
strict13,Glutathione_system,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,30,0
strict13,Glutathione_system,L. plantarum,ZPZ,0.0,0,30,30,0,0.0,30,0
strict13,Thioredoxin_system,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,30,0
strict13,Thioredoxin_system,L. delbrueckii,IAHAHI,1.0,30,30,30,0,100.0,30,0
strict13,Thioredoxin_system,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,30,0
strict13,RecA,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
strict13,RecA,L. delbrueckii,IAHAHI,1.0,30,30,30,0,100.0,0,0
strict13,RecA,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,UvrABC,L. rhamnosus,Vahe,1.0,28,28,30,2,100.0,0,2
strict13,UvrABC,L. delbrueckii,IAHAHI,1.0,29,29,30,1,100.0,0,1
strict13,UvrABC,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
strict13,Mn_transport,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,30,0
strict13,Mn_transport,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,30,0
strict13,Mn_transport,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,30,0
