species,n_genomes,pangenome_median,pangenome_low,pangenome_high
L. rhamnosus,1,2750.0,2605.0,2927.0
L. rhamnosus,2,3080.0,2781.85,3247.1
L. rhamnosus,3,3287.5,2988.875,3476.15
L. rhamnosus,4,3423.5,3159.475,3631.2
L. rhamnosus,5,3540.5,3291.8,3766.05
L. rhamnosus,6,3654.5,3355.675,3847.075
L. rhamnosus,7,3737.0,3466.3,3938.075
L. rhamnosus,8,3799.5,3567.075,3985.025
L. rhamnosus,9,3862.5,3638.25,4036.175
L. rhamnosus,10,3924.0,3709.775,4113.725
L. rhamnosus,11,3973.0,3749.8,4150.05
L. rhamnosus,12,4021.0,3834.825,4195.6
L. rhamnosus,13,4054.5,3852.975,4218.2
L. rhamnosus,14,4098.5,3900.875,4273.25
L. rhamnosus,15,4133.5,3922.475,4292.075
L. rhamnosus,16,4168.0,3941.95,4310.025
L. rhamnosus,17,4194.0,4013.975,4322.2
L. rhamnosus,18,4220.0,4051.85,4349.05
L. rhamnosus,19,4253.0,4076.95,4365.025
L. rhamnosus,20,4278.5,4136.9,4383.0
L. rhamnosus,21,4308.0,4143.975,4396.3
L. rhamnosus,22,4326.0,4173.5,4411.0
L. rhamnosus,23,4343.0,4192.7,4415.025
L. rhamnosus,24,4358.5,4246.975,4422.025
L. rhamnosus,25,4380.0,4264.65,4428.0
L. rhamnosus,26,4393.0,4284.975,4438.0
L. rhamnosus,27,4404.5,4326.825,4439.0
L. rhamnosus,28,4414.0,4356.0,4440.0
L. rhamnosus,29,4429.0,4377.65,4440.0
L. rhamnosus,30,4439.0,4382.0,4440.0
L. rhamnosus,31,4440.0,4440.0,4440.0
L. delbrueckii,1,1847.0,1664.65,1944.0
L. delbrueckii,2,2104.0,1896.975,2230.0
L. delbrueckii,3,2258.0,2120.975,2399.0
L. delbrueckii,4,2402.0,2236.325,2540.025
L. delbrueckii,5,2511.0,2337.875,2670.175
L. delbrueckii,6,2599.0,2431.95,2736.225
L. delbrueckii,7,2686.5,2527.675,2833.1
L. delbrueckii,8,2751.5,2606.975,2901.025
L. delbrueckii,9,2818.0,2653.9,2953.15
L. delbrueckii,10,2875.5,2706.775,3006.1
L. delbrueckii,11,2933.0,2777.875,3060.025
L. delbrueckii,12,2978.0,2851.95,3107.075
L. delbrueckii,13,3026.5,2893.95,3160.075
L. delbrueckii,14,3066.5,2922.925,3195.05
L. delbrueckii,15,3105.0,2975.95,3227.075
L. delbrueckii,16,3144.5,3025.725,3267.0
L. delbrueckii,17,3183.0,3066.45,3288.3
L. delbrueckii,18,3214.0,3102.9,3309.525
L. delbrueckii,19,3244.5,3139.75,3330.1
L. delbrueckii,20,3275.5,3176.9,3355.0
L. delbrueckii,21,3296.5,3201.975,3366.2
L. delbrueckii,22,3322.5,3223.925,3395.0
L. delbrueckii,23,3343.5,3274.75,3412.05
L. delbrueckii,24,3364.0,3293.825,3433.05
L. delbrueckii,25,3387.5,3314.9,3447.05
L. delbrueckii,26,3404.0,3339.95,3462.05
L. delbrueckii,27,3424.5,3374.975,3475.0
L. delbrueckii,28,3444.0,3399.95,3482.025
L. delbrueckii,29,3462.0,3418.0,3490.0
L. delbrueckii,30,3479.0,3443.0,3492.0
L. delbrueckii,31,3492.0,3492.0,3492.0
L. plantarum,1,3055.0,2753.0,3202.3250000000016
L. plantarum,2,3377.5,3148.0,3741.0
L. plantarum,3,3612.0,3398.95,4059.225
L. plantarum,4,3842.0,3595.925,4369.225
L. plantarum,5,4058.0,3740.825,4599.675
L. plantarum,6,4213.5,3832.95,4683.85
L. plantarum,7,4359.0,3983.65,4807.125
L. plantarum,8,4508.0,4098.95,4892.125
L. plantarum,9,4646.5,4216.8,4998.325000000001
L. plantarum,10,4752.5,4347.675,5124.525000000001
L. plantarum,11,4844.0,4433.95,5222.1
L. plantarum,12,4928.0,4552.9,5296.55
L. plantarum,13,5024.5,4684.1,5368.0
L. plantarum,14,5108.5,4762.925,5428.1
L. plantarum,15,5164.5,4837.925,5475.475
L. plantarum,16,5252.0,4906.85,5535.3
L. plantarum,17,5331.0,4960.85,5595.025
L. plantarum,18,5406.5,5018.425,5639.05
L. plantarum,19,5481.0,5065.85,5671.1
L. plantarum,20,5555.0,5208.775,5732.025
L. plantarum,21,5639.5,5262.825,5788.15
L. plantarum,22,5686.5,5370.5,5826.025
L. plantarum,23,5737.5,5453.225,5858.0
L. plantarum,24,5782.0,5521.9,5885.175
L. plantarum,25,5830.5,5573.65,5919.1
L. plantarum,26,5872.0,5649.95,5947.125
L. plantarum,27,5911.5,5705.925,5983.075
L. plantarum,28,5951.0,5752.9,6013.025
L. plantarum,29,5981.5,5792.0,6032.125
L. plantarum,30,6015.0,5839.0,6048.0
L. plantarum,31,6048.0,6048.0,6048.0
