species,target,reference_present,reference_evaluated,reference_unresolved,prevalence_pct
L. delbrueckii,Base_excision_repair,28,28,0,100.0
L. delbrueckii,Catalase,0,28,0,0.0
L. delbrueckii,Glutathione_system,0,28,0,0.0
L. delbrueckii,Mismatch_repair,28,28,0,100.0
L. delbrueckii,Mn_transport,0,28,0,0.0
L. delbrueckii,Nox,0,28,0,0.0
L. delbrueckii,OhrR,0,28,0,0.0
L. delbrueckii,PerR,0,28,0,0.0
L. delbrueckii,RecA,28,28,0,100.0
L. delbrueckii,Rex,28,28,0,100.0
L. delbrueckii,SOD,0,28,0,0.0
L. delbrueckii,Spx,27,28,0,96.42857142857143
L. delbrueckii,Thioredoxin_system,28,28,0,100.0
L. delbrueckii,UvrABC,28,28,0,100.0
L. plantarum,Base_excision_repair,30,30,0,100.0
L. plantarum,Catalase,30,30,0,100.0
L. plantarum,Glutathione_system,0,30,0,0.0
L. plantarum,Mismatch_repair,30,30,0,100.0
L. plantarum,Mn_transport,30,30,0,100.0
L. plantarum,Nox,30,30,0,100.0
L. plantarum,OhrR,29,29,1,100.0
L. plantarum,PerR,30,30,0,100.0
L. plantarum,RecA,30,30,0,100.0
L. plantarum,Rex,30,30,0,100.0
L. plantarum,SOD,0,30,0,0.0
L. plantarum,Spx,30,30,0,100.0
L. plantarum,Thioredoxin_system,30,30,0,100.0
L. plantarum,UvrABC,30,30,0,100.0
L. rhamnosus,Base_excision_repair,27,27,0,100.0
L. rhamnosus,Catalase,0,27,0,0.0
L. rhamnosus,Glutathione_system,0,27,0,0.0
L. rhamnosus,Mismatch_repair,27,27,0,100.0
L. rhamnosus,Mn_transport,27,27,0,100.0
L. rhamnosus,Nox,27,27,0,100.0
L. rhamnosus,OhrR,25,25,2,100.0
L. rhamnosus,PerR,27,27,0,100.0
L. rhamnosus,RecA,27,27,0,100.0
L. rhamnosus,Rex,27,27,0,100.0
L. rhamnosus,SOD,0,27,0,0.0
L. rhamnosus,Spx,27,27,0,100.0
L. rhamnosus,Thioredoxin_system,27,27,0,100.0
L. rhamnosus,UvrABC,26,26,1,100.0
