panel,target,species,strain,focal_present,reference_present,reference_evaluated,reference_total,reference_unresolved,reference_prevalence_pct,annotation_only_genomes,unresolved_genomes
module14_recommended,PerR,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
module14_recommended,PerR,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
module14_recommended,PerR,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,OhrR,L. rhamnosus,Vahe,1.0,28,28,30,2,100.0,0,2
module14_recommended,OhrR,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
module14_recommended,OhrR,L. plantarum,ZPZ,1.0,29,29,30,1,100.0,0,1
module14_recommended,Catalase,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,0,0
module14_recommended,Catalase,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
module14_recommended,Catalase,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,Rex,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
module14_recommended,Rex,L. delbrueckii,IAHAHI,,30,30,30,0,100.0,0,0
module14_recommended,Rex,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,Spx,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
module14_recommended,Spx,L. delbrueckii,IAHAHI,1.0,29,30,30,0,96.66666666666667,0,0
module14_recommended,Spx,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,SOD,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,0,0
module14_recommended,SOD,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
module14_recommended,SOD,L. plantarum,ZPZ,0.0,0,30,30,0,0.0,0,0
module14_recommended,Nox,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
module14_recommended,Nox,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,0,0
module14_recommended,Nox,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,Glutathione_system,L. rhamnosus,Vahe,0.0,0,30,30,0,0.0,30,0
module14_recommended,Glutathione_system,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,30,0
module14_recommended,Glutathione_system,L. plantarum,ZPZ,0.0,0,30,30,0,0.0,30,0
module14_recommended,Thioredoxin_system,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,30,0
module14_recommended,Thioredoxin_system,L. delbrueckii,IAHAHI,1.0,30,30,30,0,100.0,30,0
module14_recommended,Thioredoxin_system,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,30,0
module14_recommended,RecA,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,0,0
module14_recommended,RecA,L. delbrueckii,IAHAHI,1.0,30,30,30,0,100.0,0,0
module14_recommended,RecA,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,UvrABC,L. rhamnosus,Vahe,1.0,28,28,30,2,100.0,0,2
module14_recommended,UvrABC,L. delbrueckii,IAHAHI,1.0,29,29,30,1,100.0,0,1
module14_recommended,UvrABC,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,0,0
module14_recommended,Mn_transport,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,30,0
module14_recommended,Mn_transport,L. delbrueckii,IAHAHI,0.0,0,30,30,0,0.0,30,0
module14_recommended,Mn_transport,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,30,0
module14_recommended,Mismatch_repair,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,30,0
module14_recommended,Mismatch_repair,L. delbrueckii,IAHAHI,1.0,30,30,30,0,100.0,30,0
module14_recommended,Mismatch_repair,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,30,0
module14_recommended,Base_excision_repair,L. rhamnosus,Vahe,1.0,30,30,30,0,100.0,30,0
module14_recommended,Base_excision_repair,L. delbrueckii,IAHAHI,1.0,30,30,30,0,100.0,30,0
module14_recommended,Base_excision_repair,L. plantarum,ZPZ,1.0,30,30,30,0,100.0,30,0
