species,target,focal_call,conspecific_present,conspecific_evaluated,conspecific_unresolved,conspecific_prevalence_pct,interpretation
L. rhamnosus,PerR,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,OhrR,+,28,28,2,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Catalase,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Fur,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Rex,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Spx,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,SOD,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Nox,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Glutathione_system,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Thioredoxin_system,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,RecA,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,UvrABC,+,28,28,2,100.0,"descriptive; one focal genome, no population-level p-value"
L. rhamnosus,Mn_transport,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,PerR,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,OhrR,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Catalase,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Fur,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Rex,NE,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Spx,+,29,30,0,96.66666666666667,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,SOD,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Nox,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Glutathione_system,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Thioredoxin_system,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,RecA,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,UvrABC,+,29,29,1,100.0,"descriptive; one focal genome, no population-level p-value"
L. delbrueckii,Mn_transport,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,PerR,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,OhrR,+,29,29,1,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Catalase,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Fur,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Rex,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Spx,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,SOD,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Nox,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Glutathione_system,-,0,30,0,0.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Thioredoxin_system,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,RecA,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,UvrABC,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
L. plantarum,Mn_transport,+,30,30,0,100.0,"descriptive; one focal genome, no population-level p-value"
