species,accession,is_focal,component,annotation_call,sequence_call,call,evidence,sequence_method
L. rhamnosus,GCF_000743075.1,False,perR,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,ohrR,1,0.0,1.0,resolved_OhrR_sequence_and_context,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000743075.1,False,catalase,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,fur,0,,0.0,resolved_as_PerR,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000743075.1,False,rex,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000743075.1,False,spx,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000743075.1,False,sod,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,noxE,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,gshA,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,gshB,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,gshF,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,trxA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,trxB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,recA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,uvrA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,uvrB,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,uvrC,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000743075.1,False,mntH,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,mntA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,mntB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,mntC,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,mutS,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,mutL,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,mutM,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000743075.1,False,nth,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,perR,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,ohrR,1,0.0,1.0,resolved_OhrR_sequence_and_context,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000801045.1,False,catalase,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,fur,0,,0.0,resolved_as_PerR,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000801045.1,False,rex,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000801045.1,False,spx,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000801045.1,False,sod,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,noxE,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,gshA,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,gshB,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,gshF,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,trxA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,trxB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,recA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,uvrA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,uvrB,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,uvrC,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000801045.1,False,mntH,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,mntA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,mntB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,mntC,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,mutS,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,mutL,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,mutM,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000801045.1,False,nth,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,perR,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,ohrR,1,0.0,1.0,resolved_OhrR_sequence_and_context,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000814485.1,False,catalase,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,fur,0,,0.0,resolved_as_PerR,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000814485.1,False,rex,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000814485.1,False,spx,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000814485.1,False,sod,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,noxE,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,gshA,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,gshB,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,gshF,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,trxA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,trxB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,recA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,uvrA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,uvrB,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,uvrC,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000814485.1,False,mntH,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,mntA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,mntB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,mntC,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,mutS,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,mutL,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,mutM,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000814485.1,False,nth,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,perR,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,ohrR,1,0.0,1.0,resolved_OhrR_sequence_and_context,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000932035.1,False,catalase,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,fur,0,,0.0,resolved_as_PerR,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000932035.1,False,rex,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000932035.1,False,spx,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_000932035.1,False,sod,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,noxE,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,gshA,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,gshB,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,gshF,0,,0.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,trxA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,trxB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,recA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,uvrA,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,uvrB,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,uvrC,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_000932035.1,False,mntH,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,mntA,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,mntB,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,mntC,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,mutS,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,mutL,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,mutM,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_000932035.1,False,nth,1,,1.0,annotation_only,no_sequence_query
L. rhamnosus,GCF_001005625.1,False,perR,1,1.0,1.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_001005625.1,False,ohrR,1,0.0,1.0,resolved_OhrR_sequence_and_context,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_001005625.1,False,catalase,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
L. rhamnosus,GCF_001005625.1,False,fur,0,,0.0,resolved_as_PerR,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_001005625.1,False,rex,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_001005625.1,False,spx,1,1.0,1.0,resolved_positive_competitive_blastp,reviewed_refs_competitive_blastp_context_v2
L. rhamnosus,GCF_001005625.1,False,sod,0,0.0,0.0,annotation_and_sequence_agree,curated_sequence_query
