species,gene_family,n_sequences,omega,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,n_genomes_present,n_multicopy_genomes,species_input_sha256,method_version,canonical_symbols,canonical_symbol_count,canonical_symbol,CI_width,possible_pairs,valid_pair_fraction,exclusion_reasons,base_eligible,selection_status
L. delbrueckii,ligA,31,0.1137,0.1138,0.1041,0.1254,465,16,449,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.021300000000000013,465.0,0.9655913978494624,,True,curated_primary
L. plantarum,ligA,31,0.0314,0.0308,0.0092,0.0796,465,187,278,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.0704,465.0,0.5978494623655914,,True,curated_primary
L. rhamnosus,ligA~~~ligA_1,31,0.0257,0.0257,0.0223,0.0294,465,99,366,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.007099999999999999,465.0,0.7870967741935484,,True,curated_primary
L. delbrueckii,mutS,31,0.0849,0.0848,0.0714,0.0996,465,8,457,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.02819999999999999,465.0,0.9827956989247312,,True,curated_primary
L. plantarum,mutS,31,0.0308,0.0308,0.0135,0.051,465,51,414,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.0375,465.0,0.8903225806451613,,True,curated_primary
L. rhamnosus,mutS_2,31,0.0022,0.0022,0.0008,0.0035,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.0027,465.0,0.8709677419354839,,True,curated_primary
L. delbrueckii,recN,31,0.1636,0.1645,0.1239,0.2051,465,15,450,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,recn,1,recn,0.08120000000000001,465.0,0.967741935483871,,True,curated_primary
L. plantarum,recN,31,0.0298,0.0297,0.0254,0.034,465,53,412,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,recn,1,recn,0.008600000000000003,465.0,0.886021505376344,,True,curated_primary
L. rhamnosus,recN,31,0.0289,0.0291,0.024,0.0348,465,63,402,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,recn,1,recn,0.010799999999999997,465.0,0.864516129032258,,True,curated_primary
L. delbrueckii,recO,31,0.1968,0.198,0.1557,0.2431,465,16,449,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,reco,1,reco,0.0874,465.0,0.9655913978494624,,True,curated_primary
L. plantarum,recO,31,0.0627,0.0635,0.0324,0.1016,465,72,393,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,reco,1,reco,0.0692,465.0,0.8451612903225807,,True,curated_primary
L. rhamnosus,recO,31,0.0738,0.0737,0.0602,0.0903,465,94,371,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,reco,1,reco,0.03010000000000001,465.0,0.7978494623655914,,True,curated_primary
L. delbrueckii,recR,31,0.0833,0.0834,0.06,0.1048,465,25,440,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,recr,1,recr,0.044800000000000006,465.0,0.946236559139785,,True,curated_primary
L. plantarum,recR,31,0.0,0.0,0.0,0.0,465,45,420,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,recr,1,recr,0.0,465.0,0.9032258064516129,,True,curated_primary
L. rhamnosus,recR,31,0.0425,0.0431,0.0143,0.085,465,153,312,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,recr,1,recr,0.07070000000000001,465.0,0.6709677419354839,,True,curated_primary
L. delbrueckii,ruvA,31,0.1915,0.1913,0.1375,0.2592,465,126,339,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruva,1,ruva,0.12169999999999997,465.0,0.7290322580645161,,True,curated_primary
L. plantarum,ruvA,31,0.0456,0.0437,0.0,0.1054,465,179,286,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruva,1,ruva,0.1054,465.0,0.6150537634408603,,True,curated_primary
L. rhamnosus,ruvA,31,0.0058,0.0057,0.0,0.0181,465,119,346,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruva,1,ruva,0.0181,465.0,0.7440860215053764,,True,curated_primary
L. delbrueckii,ruvB_1,31,0.1171,0.1176,0.0802,0.1574,465,20,445,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.07720000000000002,465.0,0.956989247311828,,True,curated_primary
L. plantarum,ruvB_1,31,0.061,0.061,0.0381,0.0912,465,34,431,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.0531,465.0,0.9268817204301075,,True,curated_primary
L. rhamnosus,ruvB_2,31,0.0062,0.0061,0.0035,0.0092,465,119,346,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.0057,465.0,0.7440860215053764,,True,curated_primary
L. delbrueckii,ssb,31,0.1396,0.1389,0.0898,0.1962,465,45,420,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.10640000000000001,465.0,0.9032258064516129,,True,curated_primary
L. plantarum,ssbA_2~~~ssbA,31,0.078,0.078,0.0449,0.0963,465,285,180,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.051399999999999994,465.0,0.3870967741935484,,True,curated_primary
L. rhamnosus,ssb_1~~~ssb_2,31,0.063,0.0624,0.0399,0.0885,465,97,368,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.0486,465.0,0.7913978494623656,,True,curated_primary
L. delbrueckii,uvrA,31,0.1087,0.1083,0.0953,0.1237,465,11,454,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.02840000000000001,465.0,0.9763440860215054,,True,curated_primary
L. plantarum,uvrA_1,31,0.0145,0.014,0.0039,0.0253,465,28,437,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.0214,465.0,0.9397849462365592,,True,curated_primary
L. rhamnosus,uvrA_1,31,0.0178,0.0178,0.0146,0.021,465,98,367,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.006400000000000001,465.0,0.789247311827957,,True,curated_primary
L. delbrueckii,uvrB_1~~~uvrB_2,31,0.1558,0.1547,0.122,0.2037,465,8,457,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.0817,465.0,0.9827956989247312,,True,curated_primary
L. plantarum,uvrB,31,0.006,0.0059,0.0,0.0134,465,22,443,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.0134,465.0,0.9526881720430107,,True,curated_primary
L. rhamnosus,uvrB,31,0.003,0.003,0.0008,0.0058,465,93,372,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.004999999999999999,465.0,0.8,,True,curated_primary
