strain,subspecies_reference,accession,ANI,matched_fragments,total_fragments,focal_fna_sha256,reference_fna_sha256,method_version
IAHAHI,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,98.9455,542,569,9f959c0e8e7825f5a7f8b306c49dbf0651be276b2290b6d4e48f2c1726c01b99,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,fastani_fixed_three_references_v2
IAHAHI,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,96.9635,501,569,9f959c0e8e7825f5a7f8b306c49dbf0651be276b2290b6d4e48f2c1726c01b99,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,fastani_fixed_three_references_v2
IAHAHI,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,96.7684,517,569,9f959c0e8e7825f5a7f8b306c49dbf0651be276b2290b6d4e48f2c1726c01b99,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,fastani_fixed_three_references_v2
