species,accession,is_focal,contigs,size_bp,N50,GC_pct,CDS,qc_reason,qc_pass,completeness,contamination,qc_source,external_qc_available,external_qc_pass,qc_action
L. rhamnosus,GCF_000743075.1,False,90,2922140,75478,46.74,2751,,True,99.97,0.45,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_000801045.1,False,90,2966235,56067,46.56,2771,,True,99.98,0.27,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_000814485.1,False,72,3040162,80254,46.61,2906,,True,99.83,0.15,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_000932035.1,False,71,2889314,91548,46.76,2702,,True,99.95,0.1,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001005625.1,False,71,2966480,450445,46.69,2770,,True,99.95,0.1,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001044025.1,False,148,2846068,40241,46.74,2715,,True,99.46,0.23,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001044415.1,False,78,2934531,111203,46.63,2765,,True,99.97,0.16,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001062885.1,False,96,3045143,71931,46.65,2807,,True,99.97,0.13,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001062955.1,False,268,2962195,19377,46.63,2737,N50<20kb,False,99.97,0.09,uniform CheckM2 on Prokka proteins,True,True,retain_with_sensitivity
L. rhamnosus,GCF_001063655.1,False,100,3159851,95979,46.63,2943,,True,99.94,0.2,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001064515.1,False,32,2899444,176545,46.69,2693,,True,99.99,0.11,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001064785.1,False,391,2966799,15067,46.62,2709,contigs>300;N50<20kb,False,99.86,0.1,uniform CheckM2 on Prokka proteins,True,True,retain_with_sensitivity
L. rhamnosus,GCF_001065365.1,False,77,3016122,81798,46.75,2780,,True,99.94,0.09,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001066715.1,False,248,3032125,23654,46.63,2800,,True,99.82,0.18,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001066975.1,False,220,2955695,27705,46.55,2766,,True,99.89,0.12,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001067025.1,False,166,2960739,36043,46.55,2769,,True,99.96,0.12,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001067215.1,False,167,3004788,36362,46.7,2786,,True,99.92,0.15,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001067335.1,False,143,2978131,44364,46.58,2775,,True,99.99,0.12,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001067625.1,False,191,2960633,39785,46.57,2741,,True,99.99,0.13,uniform CheckM2 on Prokka proteins,True,True,retain
