species,gene_family,annotation,n_genomes_present,n_sequences_recovered,n_multicopy_genomes,eligible_for_ng86,species_input_sha256
L. rhamnosus,trxA_1,Thioredoxin,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,ytpP,Thioredoxin-like protein YtpP,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,trxA_2,Thioredoxin,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,ssbA,Single-stranded DNA-binding protein A,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,recR,Recombination protein RecR,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,mutM,Formamidopyrimidine-DNA glycosylase;hypothetical protein,30,30,1,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,mutS_2~~~mutS_1,hypothetical protein;DNA mismatch repair protein MutS,28,28,3,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,uvrA_2,hypothetical protein;UvrABC system protein A,30,30,1,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,uvrA_1~~~uvrA_3,UvrABC system protein A,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,polA,DNA polymerase I,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,ruvB_1~~~ruvB_2,hypothetical protein;Holliday junction ATP-dependent DNA helicase RuvB,28,28,3,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,nth_3~~~pdg,Endonuclease III;Ultraviolet N-glycosylase/AP lyase,30,30,1,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,nth~~~nth_1,Endonuclease III,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,recO,DNA repair protein RecO,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,nth~~~nth_2,Endonuclease III,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,mutL,DNA mismatch repair protein MutL,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,ssb_1~~~ssb_2,Single-stranded DNA-binding protein,31,31,0,True,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,recA_2~~~recA_3,Protein RecA,30,30,1,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
L. rhamnosus,uvrC_2~~~uvrC_1~~~uvrC,UvrABC system protein C,30,30,1,False,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed
