species,strain,reference,ANI,matched_fragments,total_fragments
L. delbrueckii,IAHAHI,GCF_000056065.1,98.9455,542,569
L. delbrueckii,IAHAHI,GCF_002847905.1,97.2448,499,569
L. delbrueckii,IAHAHI,GCF_003545935.1,98.9912,521,569
L. delbrueckii,IAHAHI,GCF_004211505.1,97.3117,483,569
L. delbrueckii,IAHAHI,GCF_004211735.1,97.3294,488,569
L. delbrueckii,IAHAHI,GCF_009362855.1,98.954,519,569
L. delbrueckii,IAHAHI,GCF_009734125.1,99.0201,541,569
L. delbrueckii,IAHAHI,GCF_014830125.1,97.3142,469,569
L. delbrueckii,IAHAHI,GCF_015377785.1,99.0844,541,569
L. delbrueckii,IAHAHI,GCF_019583415.1,96.9223,475,569
L. delbrueckii,IAHAHI,GCF_021600185.1,97.1598,494,569
L. delbrueckii,IAHAHI,GCF_021600205.1,97.1856,492,569
L. delbrueckii,IAHAHI,GCF_021600245.1,97.2746,492,569
L. delbrueckii,IAHAHI,GCF_021600265.1,96.9777,491,569
L. delbrueckii,IAHAHI,GCF_021600345.1,97.1356,483,569
L. delbrueckii,IAHAHI,GCF_021600365.1,97.3478,496,569
L. delbrueckii,IAHAHI,GCF_021600385.1,97.1846,498,569
L. delbrueckii,IAHAHI,GCF_021600405.1,97.1838,492,569
L. delbrueckii,IAHAHI,GCF_021600425.1,97.0681,450,569
L. delbrueckii,IAHAHI,GCF_021600445.1,97.192,499,569
L. delbrueckii,IAHAHI,GCF_021600465.1,97.1164,490,569
L. delbrueckii,IAHAHI,GCF_021600485.1,97.1118,495,569
L. delbrueckii,IAHAHI,GCF_021600505.1,96.9405,481,569
L. delbrueckii,IAHAHI,GCF_021600525.1,97.157,492,569
L. delbrueckii,IAHAHI,GCF_021600545.1,97.1255,482,569
L. delbrueckii,IAHAHI,GCF_021600565.1,97.2184,498,569
L. delbrueckii,IAHAHI,GCF_021600585.1,97.1122,464,569
L. delbrueckii,IAHAHI,GCF_021600605.1,97.1977,503,569
L. delbrueckii,IAHAHI,GCF_021600625.1,97.2431,496,569
L. delbrueckii,IAHAHI,GCF_021600645.1,97.1408,490,569
L. plantarum,ZPZ,GCF_000687495.1,98.6065,968,1066
L. plantarum,ZPZ,GCF_000731855.1,98.9227,955,1066
L. plantarum,ZPZ,GCF_000743895.1,98.8748,928,1066
L. plantarum,ZPZ,GCF_000764285.1,98.7829,972,1066
L. plantarum,ZPZ,GCF_000931425.2,98.7882,965,1066
L. plantarum,ZPZ,GCF_000956195.1,98.689,899,1066
L. plantarum,ZPZ,GCF_000966475.1,98.372,936,1066
L. plantarum,ZPZ,GCF_001005695.1,98.6169,869,1066
L. plantarum,ZPZ,GCF_001005805.1,98.9086,967,1066
L. plantarum,ZPZ,GCF_001010175.1,98.893,962,1066
L. plantarum,ZPZ,GCF_001267905.1,98.7954,947,1066
L. plantarum,ZPZ,GCF_001278015.1,98.8749,961,1066
L. plantarum,ZPZ,GCF_001296095.1,98.9567,944,1066
L. plantarum,ZPZ,GCF_001302645.1,98.3455,933,1066
L. plantarum,ZPZ,GCF_001308305.1,98.8399,964,1066
L. plantarum,ZPZ,GCF_001331925.2,98.9002,955,1066
L. plantarum,ZPZ,GCF_001368775.1,98.7488,931,1066
L. plantarum,ZPZ,GCF_001436855.1,98.6867,967,1066
L. plantarum,ZPZ,GCF_001444495.1,98.8224,937,1066
L. plantarum,ZPZ,GCF_001484005.1,98.8044,973,1066
L. plantarum,ZPZ,GCF_001540925.1,98.8227,960,1066
L. plantarum,ZPZ,GCF_001540965.1,98.7684,956,1066
L. plantarum,ZPZ,GCF_001581895.1,98.8869,914,1066
L. plantarum,ZPZ,GCF_001595615.1,98.7853,913,1066
L. plantarum,ZPZ,GCF_001596095.1,98.8179,958,1066
L. plantarum,ZPZ,GCF_001596195.1,98.6081,958,1066
L. plantarum,ZPZ,GCF_001597605.1,98.6275,955,1066
L. plantarum,ZPZ,GCF_001617525.2,98.8187,954,1066
L. plantarum,ZPZ,GCF_001619265.1,98.7464,940,1066
L. plantarum,ZPZ,GCF_009913655.1,98.9144,942,1066
L. rhamnosus,Vahe,GCF_000743075.1,97.4408,822,927
L. rhamnosus,Vahe,GCF_000801045.1,99.939,890,927
L. rhamnosus,Vahe,GCF_000814485.1,97.3823,846,927
L. rhamnosus,Vahe,GCF_000932035.1,97.5922,826,927
L. rhamnosus,Vahe,GCF_001005625.1,97.6717,844,927
L. rhamnosus,Vahe,GCF_001044025.1,96.8103,761,927
L. rhamnosus,Vahe,GCF_001044415.1,97.5325,825,927
L. rhamnosus,Vahe,GCF_001062885.1,97.5014,847,927
L. rhamnosus,Vahe,GCF_001062955.1,97.3898,743,927
L. rhamnosus,Vahe,GCF_001063655.1,97.6852,840,927
L. rhamnosus,Vahe,GCF_001064515.1,99.7437,909,927
L. rhamnosus,Vahe,GCF_001064785.1,97.3464,705,927
L. rhamnosus,Vahe,GCF_001065365.1,97.7229,841,927
L. rhamnosus,Vahe,GCF_001066715.1,97.63,777,927
L. rhamnosus,Vahe,GCF_001066975.1,97.322,788,927
L. rhamnosus,Vahe,GCF_001067025.1,97.3711,808,927
L. rhamnosus,Vahe,GCF_001067215.1,97.6081,800,927
L. rhamnosus,Vahe,GCF_001067335.1,99.7169,860,927
L. rhamnosus,Vahe,GCF_001067625.1,99.6557,859,927
L. rhamnosus,Vahe,GCF_001067885.1,97.6598,798,927
L. rhamnosus,Vahe,GCF_001068015.1,97.3611,754,927
L. rhamnosus,Vahe,GCF_001068045.1,97.612,817,927
L. rhamnosus,Vahe,GCF_001068195.1,97.5913,800,927
L. rhamnosus,Vahe,GCF_001068215.1,96.978,780,927
L. rhamnosus,Vahe,GCF_001368735.1,97.4824,862,927
L. rhamnosus,Vahe,GCF_001590655.1,97.7143,854,927
L. rhamnosus,Vahe,GCF_001645615.1,97.5712,827,927
L. rhamnosus,Vahe,GCF_001656535.1,97.5109,813,927
L. rhamnosus,Vahe,GCF_001656545.1,97.5138,824,927
L. rhamnosus,Vahe,GCF_900636965.1,97.6928,862,927
