species,cluster,accession,representative,cluster_size,clustering_method,representative_method
L. rhamnosus,0,GCF_000743075.1,GCF_000743075.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,1,GCF_000801045.1,GCF_001064515.1,5,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,1,GCF_001064515.1,GCF_001064515.1,5,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,1,GCF_001067335.1,GCF_001064515.1,5,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,1,GCF_001067625.1,GCF_001064515.1,5,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,1,Vahe,GCF_001064515.1,5,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,2,GCF_000814485.1,GCF_000814485.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,3,GCF_000932035.1,GCF_000932035.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,4,GCF_001005625.1,GCF_001005625.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,5,GCF_001044025.1,GCF_001044025.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,6,GCF_001044415.1,GCF_001044415.1,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,6,GCF_001656535.1,GCF_001044415.1,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,6,GCF_001656545.1,GCF_001044415.1,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,7,GCF_001062885.1,GCF_001062885.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,8,GCF_001062955.1,GCF_001062955.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,8,GCF_001064785.1,GCF_001062955.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001063655.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001065365.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001066715.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001067215.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001067885.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001068045.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001068195.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_001590655.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,9,GCF_900636965.1,GCF_001590655.1,9,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,10,GCF_001066975.1,GCF_001067025.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,10,GCF_001067025.1,GCF_001067025.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,11,GCF_001068015.1,GCF_001068015.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,12,GCF_001068215.1,GCF_001068215.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,13,GCF_001368735.1,GCF_001368735.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. rhamnosus,14,GCF_001645615.1,GCF_001645615.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,0,GCF_000056065.1,GCF_000056065.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,1,GCF_002847905.1,GCF_021600385.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,1,GCF_021600385.1,GCF_021600385.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,2,GCF_003545935.1,GCF_003545935.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,3,GCF_004211505.1,GCF_004211505.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,4,GCF_004211735.1,GCF_004211735.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,5,GCF_009362855.1,GCF_009362855.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,5,GCF_015377785.1,GCF_009362855.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
