record_type,species,accession,query_class,query_accession,subject_locus,pident,alignment_length,query_length,subject_length,coverage,evalue,bitscore,normalized_bitscore,query_set_hash,method_version
hit,L. rhamnosus,GCF_000743075.1,Fur,P54574,P1AB6110E8_02645,30.37,135.0,149.0,146.0,90.60402684563758,3.21e-23,85.5,0.5738255033557047,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Fur,P54574,P1AB6110E8_02061,26.119,134.0,149.0,150.0,89.93288590604027,2.77e-11,54.7,0.36711409395973155,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Zur,P54479,P1AB6110E8_02061,38.235,136.0,145.0,150.0,93.79310344827586,2.3e-33,111.0,0.7655172413793103,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Zur,P54479,P1AB6110E8_02645,32.394,142.0,145.0,146.0,97.93103448275862,3.19e-19,75.1,0.5179310344827586,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,PerR,P71086,P1AB6110E8_02645,56.296,135.0,145.0,146.0,93.10344827586206,7.17e-56,168.0,1.1586206896551725,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,PerR,P71086,P1AB6110E8_02061,32.847,137.0,145.0,150.0,94.48275862068965,7.7e-21,79.3,0.5468965517241379,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Spx,O31602,P1AB6110E8_01202,68.702,131.0,131.0,132.0,100.0,5.59e-68,197.0,1.5038167938931297,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Spx,O31602,P1AB6110E8_02080,45.238,126.0,131.0,133.0,96.18320610687023,1.86e-38,123.0,0.9389312977099237,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Spx,O31602,P1AB6110E8_00186,34.247,73.0,131.0,76.0,55.725190839694655,2e-09,47.4,0.3618320610687023,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,MgsR,P54503,P1AB6110E8_01202,44.037,109.0,126.0,132.0,86.5079365079365,1.3e-34,113.0,0.8968253968253969,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,MgsR,P54503,P1AB6110E8_02080,31.429,105.0,126.0,133.0,83.33333333333333,4.3e-24,86.7,0.6880952380952381,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,OhrR,O34777,P1AB6110E8_00540,39.706,136.0,147.0,151.0,92.51700680272108,4.18e-31,105.0,0.7142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Rex,O05521,P1AB6110E8_00754,60.68,206.0,215.0,217.0,95.81395348837209,1.2e-90,262.0,1.2186046511627906,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000743075.1,Rex,O05521,P1AB6110E8_01533,41.262,206.0,215.0,221.0,95.81395348837209,1.6e-51,162.0,0.7534883720930232,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
status,L. rhamnosus,GCF_000743075.1,,,,,,,,,,,,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
