species,canonical_symbol,gene_family,n_clusters,n_sequences,omega_full,omega_derep,omega_delta,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,valid_pair_fraction,representatives_with_sequence,species_input_sha256,representative_set_sha256,method_version
L. delbrueckii,liga,ligA,26,26,0.1137,0.1150089293340654,0.0013089293340654,0.1151674571952252,0.1046109783805125,0.1277016318604558,325,6,319,0.9815384615384616,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,liga,ligA,20,20,0.0314,0.0330375996678843,0.0016375996678843,0.0320232952089056,0.0094123972194257,0.0959058692896541,190,52,138,0.7263157894736842,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,liga,ligA~~~ligA_1,15,15,0.0257,0.0265370268001889,0.0008370268001889,0.0265457800130159,0.0214672852177243,0.0321560204904167,105,14,91,0.8666666666666667,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,muts,mutS,26,26,0.0849,0.087460200574384,0.002560200574384,0.0868982230635378,0.0729535346891881,0.1037838074561832,325,4,321,0.9876923076923076,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,muts,mutS,20,20,0.0308,0.0373146254262762,0.0065146254262762,0.0370230558007243,0.0120099660860181,0.0644259100594675,190,15,175,0.9210526315789472,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,muts,mutS_2,15,15,0.0022,0.0022654940264713,6.549402647133091e-05,0.0022524428676849,0.0,0.0040447772739768,105,6,99,0.9428571428571428,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,recn,recN,26,26,0.1636,0.1547301651434668,-0.0088698348565331,0.1558749017302847,0.1174208850812442,0.1937519306507395,325,7,318,0.9784615384615384,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,recn,recN,20,20,0.0298,0.0257517134930994,-0.0040482865069005,0.0260201898168884,0.0156885408989281,0.033588199636604,190,9,181,0.9526315789473684,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,recn,recN,15,15,0.0289,0.0284092086836525,-0.0004907913163474,0.0285433134849656,0.0220578360350972,0.0367909622116637,105,4,101,0.961904761904762,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,reco,recO,26,26,0.1968,0.2008239255853404,0.0040239255853404,0.2010140031557056,0.1589990130613832,0.2554452976149485,325,5,320,0.9846153846153848,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
