accession,completeness,contamination,qc_source,method_version
GCF_000056065.1,99.76,1.15,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000687495.1,100.0,1.61,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000731855.1,100.0,0.65,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000743075.1,99.97,0.45,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000743895.1,100.0,0.91,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000764285.1,100.0,0.71,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000801045.1,99.98,0.27,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000814485.1,99.83,0.15,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000931425.2,100.0,0.29,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000932035.1,99.95,0.1,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000956195.1,100.0,0.92,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_000966475.1,100.0,1.12,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001005625.1,99.95,0.1,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001005695.1,100.0,0.64,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001005805.1,100.0,0.39,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001010175.1,100.0,1.16,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001044025.1,99.46,0.23,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001044415.1,99.97,0.16,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001062885.1,99.97,0.13,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001062955.1,99.97,0.09,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001063655.1,99.94,0.2,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001064515.1,99.99,0.11,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001064785.1,99.86,0.1,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001065365.1,99.94,0.09,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001066715.1,99.82,0.18,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001066975.1,99.89,0.12,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001067025.1,99.96,0.12,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001067215.1,99.92,0.15,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001067335.1,99.99,0.12,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
