species,gene_family,n_sequences,omega,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,n_genomes_present,n_multicopy_genomes,species_input_sha256,method_version,canonical_symbols,canonical_symbol_count,canonical_symbol,CI_width,possible_pairs,valid_pair_fraction,exclusion_reasons,base_eligible,selection_status
L. delbrueckii,dnaK,31,0.0859,0.0864,0.063,0.1087,465,48,417,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,dnak,1,dnak,0.045700000000000005,465.0,0.896774193548387,,True,representative_not_shared_by_all_species
L. delbrueckii,ligA,31,0.1137,0.1138,0.1041,0.1254,465,16,449,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.021300000000000013,465.0,0.9655913978494624,,True,curated_primary
L. delbrueckii,mutL,31,0.1508,0.1509,0.1338,0.1728,465,14,451,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,mutl,1,mutl,0.03900000000000001,465.0,0.9698924731182795,,True,representative_not_shared_by_all_species
L. delbrueckii,mutM,31,0.1621,0.162,0.133,0.1967,465,15,450,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,mutm,1,mutm,0.0637,465.0,0.967741935483871,,True,representative_not_shared_by_all_species
L. delbrueckii,mutS,31,0.0849,0.0848,0.0714,0.0996,465,8,457,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.02819999999999999,465.0,0.9827956989247312,,True,curated_primary
L. delbrueckii,nth,14,0.2961,0.2954,0.2206,0.3147,91,48,43,14,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,nth,1,nth,0.09409999999999999,91.0,0.4725274725274725,requires_28_to_31_sequences;fewer_than_100_valid_pairs,False,excluded
L. delbrueckii,polA,31,0.0793,0.0789,0.0668,0.0893,465,6,459,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,pola,1,pola,0.022500000000000006,465.0,0.9870967741935484,,True,representative_not_shared_by_all_species
L. delbrueckii,radA,31,0.0434,0.0432,0.0307,0.0581,465,9,456,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,rada,1,rada,0.027399999999999997,465.0,0.9806451612903225,,True,representative_not_shared_by_all_species
L. delbrueckii,recA,31,0.1207,0.1176,0.0667,0.1975,465,22,443,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,reca,1,reca,0.13080000000000003,465.0,0.9526881720430107,,True,representative_not_shared_by_all_species
L. delbrueckii,recN,31,0.1636,0.1645,0.1239,0.2051,465,15,450,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,recn,1,recn,0.08120000000000001,465.0,0.967741935483871,,True,curated_primary
