species,accession,is_focal,contigs,size_bp,N50,GC_pct,CDS,qc_reason,qc_pass
L. rhamnosus,GCF_000743075.1,False,90,2922140,75478,46.74,2751,,True
L. rhamnosus,GCF_000801045.1,False,90,2966235,56067,46.56,2771,,True
L. rhamnosus,GCF_000814485.1,False,72,3040162,80254,46.61,2906,,True
L. rhamnosus,GCF_000932035.1,False,71,2889314,91548,46.76,2702,,True
L. rhamnosus,GCF_001005625.1,False,71,2966480,450445,46.69,2770,,True
L. rhamnosus,GCF_001044025.1,False,148,2846068,40241,46.74,2715,,True
L. rhamnosus,GCF_001044415.1,False,78,2934531,111203,46.63,2765,,True
L. rhamnosus,GCF_001062885.1,False,96,3045143,71931,46.65,2807,,True
L. rhamnosus,GCF_001062955.1,False,268,2962195,19377,46.63,2737,N50<20kb,False
L. rhamnosus,GCF_001063655.1,False,100,3159851,95979,46.63,2943,,True
L. rhamnosus,GCF_001064515.1,False,32,2899444,176545,46.69,2693,,True
L. rhamnosus,GCF_001064785.1,False,391,2966799,15067,46.62,2709,contigs>300;N50<20kb,False
L. rhamnosus,GCF_001065365.1,False,77,3016122,81798,46.75,2780,,True
L. rhamnosus,GCF_001066715.1,False,248,3032125,23654,46.63,2800,,True
L. rhamnosus,GCF_001066975.1,False,220,2955695,27705,46.55,2766,,True
L. rhamnosus,GCF_001067025.1,False,166,2960739,36043,46.55,2769,,True
L. rhamnosus,GCF_001067215.1,False,167,3004788,36362,46.7,2786,,True
L. rhamnosus,GCF_001067335.1,False,143,2978131,44364,46.58,2775,,True
L. rhamnosus,GCF_001067625.1,False,191,2960633,39785,46.57,2741,,True
L. rhamnosus,GCF_001067885.1,False,192,2966367,28880,46.64,2732,,True
L. rhamnosus,GCF_001068015.1,False,319,3014883,23331,46.59,2832,contigs>300,False
L. rhamnosus,GCF_001068045.1,False,167,3046339,39356,46.63,2832,,True
L. rhamnosus,GCF_001068195.1,False,212,3048598,32817,46.64,2833,,True
L. rhamnosus,GCF_001068215.1,False,145,2822292,39640,46.75,2598,,True
L. rhamnosus,GCF_001368735.1,False,62,3018284,2994737,46.71,2807,,True
L. rhamnosus,GCF_001590655.1,False,1,2903890,2903890,46.74,2669,,True
L. rhamnosus,GCF_001645615.1,False,72,3053014,89179,46.75,2908,,True
L. rhamnosus,GCF_001656535.1,False,83,2866028,67501,46.73,2695,,True
L. rhamnosus,GCF_001656545.1,False,94,2933901,69217,46.63,2757,,True
L. rhamnosus,GCF_900636965.1,False,1,2988387,2988387,46.76,2748,,True
L. rhamnosus,Vahe,True,34,2834560,140059,46.69,2671,,True
L. delbrueckii,GCF_000056065.1,False,1,1864998,1864998,49.72,1900,,True
L. delbrueckii,GCF_002847905.1,False,79,2049233,50184,49.58,1971,,True
L. delbrueckii,GCF_003545935.1,False,54,1742687,107079,49.81,1788,,True
L. delbrueckii,GCF_004211505.1,False,108,2011423,33854,49.42,1916,,True
L. delbrueckii,GCF_004211735.1,False,97,1962814,39740,49.55,1882,,True
L. delbrueckii,GCF_009362855.1,False,73,1785290,60623,49.72,1816,,True
L. delbrueckii,GCF_009734125.1,False,1,1853687,1853687,49.78,1857,,True
L. delbrueckii,GCF_014830125.1,False,175,2022317,24736,49.6,1954,,True
L. delbrueckii,GCF_015377785.1,False,1,1871250,1871250,49.72,1884,,True
L. delbrueckii,GCF_019583415.1,False,63,1738505,57987,50.21,1718,,True
L. delbrueckii,GCF_021600185.1,False,190,2001126,35790,49.53,1908,,True
L. delbrueckii,GCF_021600205.1,False,220,1989005,30734,49.61,1882,,True
L. delbrueckii,GCF_021600245.1,False,225,1963033,24577,49.57,1943,,True
L. delbrueckii,GCF_021600265.1,False,101,1910940,107563,49.93,1801,,True
L. delbrueckii,GCF_021600345.1,False,161,1971719,65463,49.67,1893,,True
L. delbrueckii,GCF_021600365.1,False,103,2020830,103460,49.94,1896,,True
L. delbrueckii,GCF_021600385.1,False,213,2099174,39062,49.49,1993,,True
L. delbrueckii,GCF_021600405.1,False,284,2047504,23620,49.42,1912,,True
L. delbrueckii,GCF_021600425.1,False,337,2008721,17144,49.42,1901,contigs>300;N50<20kb,False
L. delbrueckii,GCF_021600445.1,False,186,2114543,36508,49.47,1973,,True
L. delbrueckii,GCF_021600465.1,False,236,2050720,27937,49.32,1926,,True
L. delbrueckii,GCF_021600485.1,False,247,2059962,27391,49.41,1918,,True
L. delbrueckii,GCF_021600505.1,False,156,1924342,37325,49.5,1864,,True
L. delbrueckii,GCF_021600525.1,False,241,2167229,30728,49.37,2035,,True
L. delbrueckii,GCF_021600545.1,False,162,1991276,53266,49.73,1899,,True
L. delbrueckii,GCF_021600565.1,False,173,1975407,43633,49.67,1904,,True
L. delbrueckii,GCF_021600585.1,False,369,2061265,16448,49.29,1913,contigs>300;N50<20kb,False
L. delbrueckii,GCF_021600605.1,False,218,2059099,32987,49.42,1924,,True
L. delbrueckii,GCF_021600625.1,False,235,2067584,32977,49.31,1925,,True
L. delbrueckii,GCF_021600645.1,False,275,2089772,25498,49.49,1970,,True
L. delbrueckii,IAHAHI,True,43,1766423,87746,49.8,1870,,True
L. plantarum,GCF_000687495.1,False,48,3442875,1891636,44.29,3256,,True
L. plantarum,GCF_000731855.1,False,33,3324076,207479,44.32,3139,,True
L. plantarum,GCF_000743895.1,False,83,3194687,124908,44.54,2998,,True
L. plantarum,GCF_000764285.1,False,4,3313644,3257132,44.48,3090,,True
L. plantarum,GCF_000931425.2,False,3,3310674,3284260,44.42,3088,,True
L. plantarum,GCF_000956195.1,False,178,3237330,59762,44.37,3042,,True
L. plantarum,GCF_000966475.1,False,52,3353072,256293,44.42,3224,,True
L. plantarum,GCF_001005695.1,False,174,3079349,49090,44.49,2937,,True
L. plantarum,GCF_001005805.1,False,11,3325806,2312345,44.42,3084,,True
L. plantarum,GCF_001010175.1,False,18,3330093,386336,44.37,3114,,True
L. plantarum,GCF_001267905.1,False,45,3216480,149697,44.5,3041,,True
L. plantarum,GCF_001278015.1,False,1,3237652,3237652,44.66,3029,,True
L. plantarum,GCF_001296095.1,False,1,3198337,3198337,44.66,2953,,True
L. plantarum,GCF_001302645.1,False,11,3405709,3067675,44.31,3365,,True
L. plantarum,GCF_001308305.1,False,2,3231771,1956412,44.5,3014,,True
L. plantarum,GCF_001331925.2,False,1,3141590,3141590,44.68,2931,,True
L. plantarum,GCF_001368775.1,False,67,3224773,92828,44.36,3045,,True
L. plantarum,GCF_001436855.1,False,90,3439800,263553,44.24,3256,,True
L. plantarum,GCF_001444495.1,False,14,3228096,857574,44.55,3022,,True
L. plantarum,GCF_001484005.1,False,3,3322458,3261418,44.47,3121,,True
L. plantarum,GCF_001540925.1,False,27,3298660,276804,44.43,3094,,True
L. plantarum,GCF_001540965.1,False,25,3240520,327607,44.44,3038,,True
L. plantarum,GCF_001581895.1,False,1,2952218,2952218,44.93,2786,,True
L. plantarum,GCF_001595615.1,False,171,3294478,42039,44.38,3127,,True
L. plantarum,GCF_001596095.1,False,1,3262611,3262611,44.48,3051,,True
L. plantarum,GCF_001596195.1,False,121,3603563,235913,43.99,3475,,True
L. plantarum,GCF_001597605.1,False,121,3615168,256152,43.98,3485,,True
L. plantarum,GCF_001617525.2,False,4,3274606,3254946,44.52,3057,,True
L. plantarum,GCF_001619265.1,False,57,3183959,113845,44.53,3004,,True
L. plantarum,GCF_009913655.1,False,1,3223643,3223643,44.6,2957,,True
L. plantarum,ZPZ,True,70,3311088,153863,44.38,3208,,True
