species,accession,locus_tag,gene_symbol,cds_length_bp,length_mod3,non_triplet_length,internal_stop_count,has_internal_stop,canonical_start,terminal_stop
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00031,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00143,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00360,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00455,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00545,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00546,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00744,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00770,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_00772,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_01310,uvra,2397,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_01622,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_01810,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_01811,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_02184,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_02223,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_000743075.1,P1AB6110E8_02747,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00031,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00146,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00147,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00590,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00813,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00842,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_00844,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_01369,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_01488,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_01489,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_02124,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_02151,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_02263,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_02569,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_000801045.1,P159FD3029_02749,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00081,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00298,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00505,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00506,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00840,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00868,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_00871,ruvb,1257,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_01275,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_01307,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_01480,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_01695,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_02009,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_02010,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_02132,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_000814485.1,P16F326D0F_02524,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00008,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00009,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00118,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00283,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00484,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00707,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00708,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_00877,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_01678,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_01796,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_02086,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_02236,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_02238,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_02283,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_000932035.1,P10D559847_02330,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_00170,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_00196,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_00198,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_00708,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_00819,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_01308,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_01407,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_01408,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_02094,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_02095,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_02186,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_02235,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_02421,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001005625.1,P1E1445BCF_02715,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00027,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00029,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00055,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00098,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00584,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00585,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00760,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_00772,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_01055,uvra,2274,0,False,0,False,True,True
