species,query_accession,reference_group,reference_accession,ANI,matched_fragments,total_fragments,query_fna_sha256,reference_fna_sha256,method_version
L. delbrueckii,GCF_000056065.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,100.0,614,621,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_000056065.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.0313,540,621,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_000056065.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.0789,514,621,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_002847905.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.076,522,649,ce1122876f237f5073c31df0fd9ff7ab412df66bdc2473675f02522a7fb33f83,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_002847905.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9762,561,649,ce1122876f237f5073c31df0fd9ff7ab412df66bdc2473675f02522a7fb33f83,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_002847905.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6365,543,649,ce1122876f237f5073c31df0fd9ff7ab412df66bdc2473675f02522a7fb33f83,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_003545935.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,98.7425,531,555,6774af330a429cbd16d9ec01959620af3245383fa3e1a14b5c3443936252f4c4,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_003545935.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,96.9051,497,555,6774af330a429cbd16d9ec01959620af3245383fa3e1a14b5c3443936252f4c4,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_003545935.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,96.9251,490,555,6774af330a429cbd16d9ec01959620af3245383fa3e1a14b5c3443936252f4c4,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_004211505.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.9281,515,610,a0cf7797e1c2ddf232d51330ea60be682be7f470956aea74be7e07c0a558672b,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
