species,canonical_symbol,display_symbol,estimate_status,gene_family,n_candidate_families,n_sequences,n_valid,valid_pair_fraction,omega,boot_median,ci_lo,ci_hi,reason,comparison_scope
L. rhamnosus,trxa,trxA,evaluated,trxA_2,2,31.0,335.0,0.7204301075268817,0.0995,0.1004,0.0747,0.1353,passed prespecified within-species curation,within-species only; not included in paired three-species tests
L. rhamnosus,trxb,trxB,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. rhamnosus,kata,katA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. rhamnosus,kate,katE,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. rhamnosus,katg,katG,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. rhamnosus,soda,sodA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. rhamnosus,sodb,sodB,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. rhamnosus,nox,nox,evaluated,nox_3,3,31.0,355.0,0.7634408602150538,0.0418,0.0422,0.0284,0.0563,passed prespecified within-species curation,within-species only; not included in paired three-species tests
L. delbrueckii,trxa,trxA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. delbrueckii,trxb,trxB,evaluated,trxB,1,31.0,453.0,0.9741935483870968,0.0478,0.0469,0.0269,0.0734,passed prespecified within-species curation,within-species only; not included in paired three-species tests
L. delbrueckii,kata,katA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. delbrueckii,kate,katE,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. delbrueckii,katg,katG,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. delbrueckii,soda,sodA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. delbrueckii,sodb,sodB,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. delbrueckii,nox,nox,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. plantarum,trxa,trxA,evaluated,trxA_2~~~trxA_3,3,31.0,380.0,0.8172043010752689,0.1081,0.1081,0.0757,0.1508,passed prespecified within-species curation,within-species only; not included in paired three-species tests
L. plantarum,trxb,trxB,evaluated,trxB,1,31.0,322.0,0.6924731182795699,0.0378,0.0363,0.0041,0.0719,passed prespecified within-species curation,within-species only; not included in paired three-species tests
L. plantarum,kata,katA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. plantarum,kate,katE,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. plantarum,katg,katG,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. plantarum,soda,sodA,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. plantarum,sodb,sodB,NE,,0,,,,,,,,no exact canonical family in the completed candidate screen; this may represent biological absence or unresolved annotation,within-species only; not included in paired three-species tests
L. plantarum,nox,nox,evaluated,nox_2~~~nox_4,3,31.0,430.0,0.9247311827956989,0.0786,0.0785,0.0728,0.098,passed prespecified within-species curation,within-species only; not included in paired three-species tests
