strain,locus_tag,GC,genome_mean_GC,z,flag
Vahe,P128F6B855_01593,50.2,47.0,0.92,
IAHAHI,P1AC7D15BF_01898,48.6,51.0,-0.46,
IAHAHI,P1AC7D15BF_01857,45.5,51.0,-1.07,
IAHAHI,P1AC7D15BF_01499,39.5,51.0,-2.26,outlier
IAHAHI,P1AC7D15BF_01737,35.9,51.0,-2.98,outlier
IAHAHI,P1AC7D15BF_00728,37.4,51.0,-2.67,outlier
IAHAHI,P1AC7D15BF_00726,30.8,51.0,-3.97,outlier
IAHAHI,P1AC7D15BF_01713,42.6,51.0,-1.64,
IAHAHI,P1AC7D15BF_00725,33.3,51.0,-3.47,outlier
IAHAHI,P1AC7D15BF_00761,52.4,51.0,0.28,
IAHAHI,P1AC7D15BF_01175,39.1,51.0,-2.33,outlier
ZPZ,P1C1F7B07C_03130,25.6,44.9,-4.54,outlier
ZPZ,P1C1F7B07C_01282,48.1,44.9,0.75,
ZPZ,P1C1F7B07C_03121,35.3,44.9,-2.25,outlier
ZPZ,P1C1F7B07C_03262,41.2,44.9,-0.87,
ZPZ,P1C1F7B07C_03007,30.7,44.9,-3.33,outlier
ZPZ,P1C1F7B07C_03057,36.5,44.9,-1.98,
ZPZ,P1C1F7B07C_02956,38.0,44.9,-1.62,
ZPZ,P1C1F7B07C_03155,43.7,44.9,-0.3,
ZPZ,P1C1F7B07C_03213,38.0,44.9,-1.63,
ZPZ,P1C1F7B07C_01677,48.4,44.9,0.81,
ZPZ,P1C1F7B07C_03040,39.9,44.9,-1.17,
ZPZ,P1C1F7B07C_03154,44.0,44.9,-0.21,
ZPZ,P1C1F7B07C_01405,36.7,44.9,-1.94,
ZPZ,P1C1F7B07C_03008,35.1,44.9,-2.31,outlier
ZPZ,P1C1F7B07C_03123,41.7,44.9,-0.77,
ZPZ,P1C1F7B07C_03038,33.3,44.9,-2.72,outlier
ZPZ,P1C1F7B07C_03009,32.8,44.9,-2.84,outlier
ZPZ,P1C1F7B07C_03006,39.4,44.9,-1.31,
ZPZ,P1C1F7B07C_01406,30.1,44.9,-3.47,outlier
ZPZ,P1C1F7B07C_00351,35.0,44.9,-2.32,outlier
ZPZ,P1C1F7B07C_03157,48.1,44.9,0.75,
ZPZ,P1C1F7B07C_03124,41.0,44.9,-0.93,
ZPZ,P1C1F7B07C_01407,30.3,44.9,-3.42,outlier
ZPZ,P1C1F7B07C_01408,30.9,44.9,-3.28,outlier
ZPZ,P1C1F7B07C_03129,30.3,44.9,-3.42,outlier
ZPZ,P1C1F7B07C_03010,36.3,44.9,-2.03,outlier
ZPZ,P1C1F7B07C_00350,31.3,44.9,-3.2,outlier
ZPZ,P1C1F7B07C_01980,38.6,44.9,-1.49,
ZPZ,P1C1F7B07C_03142,45.0,44.9,0.01,
ZPZ,P1C1F7B07C_02958,33.7,44.9,-2.62,outlier
ZPZ,P1C1F7B07C_01976,41.0,44.9,-0.94,
ZPZ,P1C1F7B07C_02802,38.7,44.9,-1.46,
ZPZ,P1C1F7B07C_01979,41.7,44.9,-0.75,
ZPZ,P1C1F7B07C_01978,40.6,44.9,-1.02,
ZPZ,P1C1F7B07C_03143,46.5,44.9,0.36,
ZPZ,P1C1F7B07C_03144,48.6,44.9,0.85,
ZPZ,P1C1F7B07C_01977,41.1,44.9,-0.89,
ZPZ,P1C1F7B07C_03156,43.9,44.9,-0.24,
ZPZ,P1C1F7B07C_02801,42.0,44.9,-0.69,
