species,accession,nearest_fixed_reference_group,nearest_fixed_reference_accession,best_ANI,second_fixed_reference_group,second_ANI,ANI_margin_pp,interpretation,cluster,representative,is_ANI_cluster_representative
L. delbrueckii,GCF_000056065.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,100.0,subsp. delbrueckii (DSM 20074 lineage),97.0789,2.9210999999999956,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",0,GCF_000056065.1,True
L. delbrueckii,GCF_002847905.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9762,subsp. delbrueckii (DSM 20074 lineage),97.6365,0.33970000000000766,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",1,GCF_021600385.1,False
L. delbrueckii,GCF_003545935.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,98.7425,subsp. delbrueckii (DSM 20074 lineage),96.9251,1.8174000000000063,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",2,GCF_003545935.1,True
L. delbrueckii,GCF_004211505.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.3176,subsp. delbrueckii (DSM 20074 lineage),97.7488,0.568799999999996,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",3,GCF_004211505.1,True
L. delbrueckii,GCF_004211735.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.2593,subsp. delbrueckii (DSM 20074 lineage),97.7549,0.5043999999999897,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",4,GCF_004211735.1,True
L. delbrueckii,GCF_009362855.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,99.0671,subsp. lactis (DSM 20072 lineage),96.9256,2.1414999999999935,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",5,GCF_009362855.1,True
L. delbrueckii,GCF_009734125.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,98.8437,subsp. delbrueckii (DSM 20074 lineage),97.1485,1.6951999999999998,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",6,GCF_009734125.1,True
L. delbrueckii,GCF_014830125.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,98.0038,subsp. lactis (DSM 20072 lineage),97.8235,0.18030000000000257,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",7,GCF_014830125.1,True
L. delbrueckii,GCF_015377785.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,99.2095,subsp. delbrueckii (DSM 20074 lineage),97.0996,2.1099000000000103,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",5,GCF_009362855.1,False
L. delbrueckii,GCF_019583415.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6962,subsp. lactis (DSM 20072 lineage),97.2046,0.49160000000000537,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",8,GCF_019583415.1,True
L. delbrueckii,GCF_021600185.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9898,subsp. delbrueckii (DSM 20074 lineage),97.7737,0.2160999999999973,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",9,GCF_021600185.1,True
L. delbrueckii,GCF_021600205.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8778,subsp. delbrueckii (DSM 20074 lineage),97.7837,0.09409999999999741,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",10,GCF_021600205.1,True
L. delbrueckii,GCF_021600245.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8624,subsp. delbrueckii (DSM 20074 lineage),97.8202,0.04219999999999402,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",11,GCF_021600245.1,True
L. delbrueckii,GCF_021600265.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,98.3261,subsp. lactis (DSM 20072 lineage),97.8942,0.43189999999999884,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",12,GCF_021600265.1,True
L. delbrueckii,GCF_021600345.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.085,subsp. delbrueckii (DSM 20074 lineage),97.8282,0.25679999999999836,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",13,GCF_021600345.1,True
L. delbrueckii,GCF_021600365.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6005,subsp. lactis (DSM 20072 lineage),97.086,0.5144999999999982,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",14,GCF_021600365.1,True
