species,accession,is_focal,target,query_sha256,pident,coverage,evalue,bitscore,present,method_version
L. rhamnosus,GCF_000743075.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,98.6,100.0,9.86e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.94e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.2,100.0,4.52e-133,409.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.08e-137,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,1.53e-92,297.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,100.0,100.0,0.0,897.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,71.7,99.3,0.0,1056.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,99.9,100.0,0.0,1368.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.26e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,22.5,94.1,5.41e-08,46.6,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000743075.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,6.47e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.99e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,100.0,100.0,4.87e-136,417.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.2,87.3,1.76e-137,429.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,1.01e-92,298.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,99.6,100.0,0.0,894.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,71.6,99.3,0.0,1055.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1368.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.28e-32,117.0,1,multiquery_tblastn_querybound_v2
