species,canonical_symbol,gene_family,n_sequences,n_pairs_successful,n_dS0,n_valid,mean_dN,median_dN,mean_dS,median_dS,omega_recomputed,omega_reported,omega_abs_delta,diagnostic_status,diagnostic_detail,species_input_sha256,method_version
L. delbrueckii,liga,ligA,31,465,16,449,0.0042512677131019,0.0042148603309676,0.037392202034929,0.0440817274203745,0.113693965098142,0.1137,6.0349018579514135e-06,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,muts,mutS,31,465,8,457,0.0029585874502867,0.0025252549109282,0.0348631187495654,0.0404197363391878,0.0848629599531646,0.0849,3.704004683532936e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,recn,recN,31,465,15,450,0.0039287218044591,0.0045755098697017,0.0240122821127616,0.0247615336906456,0.1636130121247906,0.1636,1.3012124790628963e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,reco,recO,31,465,16,449,0.0062603098173249,0.0070381748174201,0.0318042530682335,0.0288774842840112,0.1968387625357498,0.1968,3.876253574985888e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,recr,recR,31,465,25,440,0.0026687089604374,0.0021961948343162,0.0320526671888426,0.0362389329531057,0.0832601213719395,0.0833,3.98786280604857e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,ruva,ruvA,31,465,126,339,0.0049615990482612,0.0044444574506603,0.0259064449161415,0.029200768481591,0.1915198733103598,0.1915,1.987331035988027e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,ruvb,ruvB_1,31,465,20,445,0.0023563923586966,0.0026223802940469,0.0201245602134132,0.0207195497061983,0.1170903778123837,0.1171,9.622187616228906e-06,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,ssb,ssb,31,465,45,420,0.0031065114689675,0.0022522539448271,0.0222529678941821,0.0236240002945282,0.1395998719694254,0.1396,1.2803057455879066e-07,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,uvra,uvrA,31,465,11,454,0.0035743906867611,0.0032211108642526,0.0328713555189219,0.033791228231144,0.1087387675480447,0.1087,3.876754804470195e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. delbrueckii,uvrb,uvrB_1~~~uvrB_2,31,465,8,457,0.00464468559752,0.0038089274057644,0.0298068581758338,0.0310925352587595,0.1558260709706649,0.1558,2.607097066492648e-05,ok,same joint dN/dS mask as the primary estimator,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,liga,ligA,31,465,187,278,0.0003908573404381,0.0,0.0124291836172265,0.0052188684665318,0.0314467428010659,0.0314,4.674280106595208e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,muts,mutS,31,465,51,414,0.0002980831513081,0.0,0.0096840728774772,0.0101125127529653,0.0307807629165448,0.0308,1.9237083455109216e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,recn,recN,31,465,53,412,0.0014933096911962,0.0022813705803636,0.0501438188838569,0.0467612564136049,0.029780533761401,0.0298,1.9466238598921104e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,reco,recO,31,465,72,393,0.0010031188182668,0.0016277814311622,0.0159939351992002,0.0177173593225769,0.0627186996679239,0.0627,1.8699667923935404e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,recr,recR,31,465,45,420,0.0,0.0,0.0303383275681945,0.0310121698640216,0.0,0.0,0.0,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,ruva,ruvA,31,465,179,286,0.0004736233760971,0.0,0.0103966422499438,0.0070258125027001,0.0455554172886597,0.0456,4.45827113402103e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,ruvb,ruvB_1,31,465,34,431,0.0011042344235966,0.0007620983762557,0.0180958075802869,0.0158736083940324,0.0610215608613968,0.061,2.1560861396811848e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
