target,available,length_aa,sha256,source
PerR,True,146.0,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,median-length study-derived annotated representative
OhrR,True,146.0,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,median-length study-derived annotated representative
Catalase,True,484.0,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,median-length study-derived annotated representative
Fur,False,,,missing
Rex,True,221.0,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,median-length study-derived annotated representative
RecA,True,369.0,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,median-length study-derived annotated representative
Mn_transport,True,307.0,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,median-length study-derived annotated representative
uvrA,True,755.0,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,median-length study-derived annotated representative
uvrB,True,671.0,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,median-length study-derived annotated representative
uvrC,True,602.0,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,median-length study-derived annotated representative
Spx,True,134.0,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,median-length study-derived annotated representative
MgsR,True,118.0,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,median-length study-derived annotated representative
Nox,True,453.0,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,median-length study-derived annotated representative
SOD,True,205.0,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,E. coli SodA sequence stated in notebook
