species,accession,is_focal,rex_call,rex_locus,rex_identity,rex_coverage,rex_evidence,fur_call,fur_best_class,fur_locus,fur_identity,fur_coverage,fur_margin,fur_evidence,spx_call,spx_best_class,spx_locus,spx_identity,spx_coverage,spx_margin,spx_evidence,ohrr_call,ohrr_locus,ohrr_identity,ohrr_coverage,ohrr_neighbourhood,ohrr_evidence
L. rhamnosus,GCF_000743075.1,False,1.0,P1AB6110E8_00754,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1AB6110E8_02645,56.296,93.10344827586206,2.0191167574107682,resolved_as_PerR,1.0,Spx,P1AB6110E8_01202,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1AB6110E8_00540,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_000801045.1,False,1.0,P159FD3029_00825,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P159FD3029_02702,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P159FD3029_01845,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P159FD3029_00141,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_000814485.1,False,1.0,P16F326D0F_00852,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P16F326D0F_02891,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P16F326D0F_00191,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P16F326D0F_00511,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP_1:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_000932035.1,False,1.0,P10D559847_02220,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P10D559847_02669,55.556,93.10344827586206,2.0070982052833233,resolved_as_PerR,1.0,Spx,P10D559847_00394,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P10D559847_00702,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001005625.1,False,1.0,P1E1445BCF_00180,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1E1445BCF_01903,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1E1445BCF_00930,67.939,100.0,1.7050659264399721,resolved_positive_competitive_blastp,1.0,P1E1445BCF_02100,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001044025.1,False,1.0,P1282E20EA_00045,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1282E20EA_01782,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1282E20EA_00673,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1282E20EA_01675,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001044415.1,False,1.0,P17861965B_00313,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P17861965B_02678,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P17861965B_01947,69.291,96.9465648854962,1.657442748091603,resolved_positive_competitive_blastp,1.0,P17861965B_01302,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001062885.1,False,1.0,P179610789_00118,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P179610789_00804,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P179610789_01675,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P179610789_00897,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001062955.1,False,1.0,P194D76FC1_01568,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P194D76FC1_02720,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P194D76FC1_00382,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P194D76FC1_01089,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001063655.1,False,1.0,P10A93D905_01901,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P10A93D905_00014,54.815,93.10344827586206,2.030706075533662,resolved_as_PerR,1.0,Spx,P10A93D905_01992,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P10A93D905_02796,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
