class,uniprot_accession,length_aa,sha256,review_status
Fur,P54574,149,e09afc0ad0485a52a852833a9360273cfdeb1c69d18d5c76fc400ee897769616,UniProtKB/Swiss-Prot reviewed
Zur,P54479,145,328871823d5d24402f40f4b1897cdf13d7a058bd04cfbc296c8e98c351042ab8,UniProtKB/Swiss-Prot reviewed
PerR,P71086,145,934cd6ee6563f43670fdfb8912ab39a6491857c053b5792c9860f874f0ca1022,UniProtKB/Swiss-Prot reviewed
Spx,O31602,131,8cb4b7995ac074538c293f500cdd0e90b5a7103accc95068134f908547af6429,UniProtKB/Swiss-Prot reviewed
MgsR,P54503,126,350c588ffdbf239ca8ca7f056a9aaeb7070e5fe601c97b054e9e93df24c09dbf,UniProtKB/Swiss-Prot reviewed
OhrR,O34777,147,53f74b36bda773afcbd22874bdde38da9e940ad070a4949752c378001ec59b9e,UniProtKB/Swiss-Prot reviewed
Rex,O05521,215,2802baf081ec4bfc5b097c5a253aa3646c8c809d6011511497e06e7c4980c516,UniProtKB/Swiss-Prot reviewed
