species,tip_name,accession,is_focal,target,present,panel
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001066715.1,GCF_001066715.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001067215.1,GCF_001067215.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001063655.1,GCF_001063655.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001065365.1,GCF_001065365.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001068195.1,GCF_001068195.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001068045.1,GCF_001068045.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,OhrR,,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001590655.1,GCF_001590655.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,OhrR,,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_900636965.1,GCF_900636965.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001067885.1,GCF_001067885.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001368735.1,GCF_001368735.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_000814485.1,GCF_000814485.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001645615.1,GCF_001645615.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001005625.1,GCF_001005625.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,PerR,1.0,strict13
